night_of,average_darkness,median_darkness,mean_cloud_cover,mean_snow_cover
2021-11-04,,,27.375,0.0
2021-11-05,,,2.7083333333333335,0.0
2021-11-06,,,2.5,0.0
2021-11-07,,,8.5,0.0
2021-11-08,,,19.208333333333332,0.0
2021-11-19,,,36.083333333333336,0.0
2021-11-22,,,6.333333333333333,0.0
2021-11-23,,,13.208333333333334,0.0
2021-11-26,,,19.791666666666668,0.0
2021-11-28,,,2.625,0.0
2021-11-30,,,14.75,0.0
2021-12-02,,,34.916666666666664,0.0
2021-12-12,,,7.5,0.0
2021-12-13,,,1.5,0.0
2021-12-17,,,32.333333333333336,0.0
2021-12-20,,,20.25,0.0
2021-12-22,,,15.833333333333334,0.0
