night_of,average_darkness,median_darkness,mean_cloud_cover,mean_snow_cover
2023-02-10,17.494,17.54,31.166666666666668,0.0
2023-02-11,19.877631578947362,19.88,3.625,0.0
2023-02-12,19.991,19.99,20.875,0.0
2023-02-13,19.943281250000002,19.935000000000002,18.875,0.0
2023-02-20,19.29258333333333,19.88,25.375,0.0
2023-02-26,20.07921568627451,20.08,1.1666666666666667,0.0
2023-03-05,,,36.25,0.0
2023-03-19,20.150761904761904,20.2,1.9583333333333333,0.0
2023-04-02,,,28.833333333333332,0.0
2023-04-06,,,1.0,0.0
2023-04-07,,,3.0,0.0
2023-04-08,,,8.458333333333334,0.0
2023-04-09,19.993333333333332,20.0,7.583333333333333,0.0
2023-04-10,19.88296296296296,19.96,10.625,0.0
2023-04-11,20.07525,20.08,13.916666666666666,0.0
2023-04-12,20.11509433962264,20.13,0.16666666666666666,0.0
2023-04-13,20.2325,20.25,3.1666666666666665,0.0
2023-04-14,20.20904109589041,20.26,17.208333333333332,0.0
2023-04-18,19.75411764705882,20.26,2.3333333333333335,0.0
2023-04-26,20.20952380952381,20.21,24.458333333333332,0.0
2023-04-27,20.236153846153847,20.25,6.875,0.0
2023-04-28,20.194285714285716,20.2,32.166666666666664,0.0
2023-05-03,,,10.0,0.0
2023-05-04,,,5.125,0.0
2023-05-05,,,31.041666666666668,0.0
2023-05-10,20.101,20.12,7.5,0.0
2023-05-11,19.472250000000003,19.92,13.0,0.0
2023-05-15,19.38677419354839,19.395,22.0,0.0
2023-05-16,19.65,19.63,30.916666666666668,0.0
2023-05-17,20.04234375,20.08,2.625,0.0
2023-05-18,19.596825396825388,19.59,21.083333333333332,0.0
2023-05-20,19.925806451612903,19.92,1.75,0.0
2023-05-21,20.283000000000005,20.29,0.25,0.0
2023-05-22,20.160416666666666,20.165,8.25,0.0
2023-05-23,19.987567567567567,19.99,7.541666666666667,0.0
2023-05-24,20.08035714285714,20.08,13.333333333333334,0.0
2023-05-25,19.337619047619047,19.25,16.958333333333332,0.0
2023-05-26,20.25875,20.27,6.166666666666667,0.0
2023-05-27,20.305,20.34,17.708333333333332,0.0
2023-05-28,19.25857142857143,19.23,14.083333333333334,0.0
2023-05-29,20.286666666666665,20.29,15.166666666666666,0.0
2023-05-30,,,21.791666666666668,0.0
2023-06-01,,,28.208333333333332,0.0
2023-06-02,,,18.125,0.0
2023-06-03,,,13.125,0.0
2023-06-04,,,14.458333333333334,0.0
2023-06-05,,,12.083333333333334,0.0
2023-06-07,18.286666666666665,18.33,12.833333333333334,0.0
2023-06-08,20.227333333333334,20.24,2.5416666666666665,0.0
2023-06-09,20.33545454545455,20.345,0.08333333333333333,0.0
2023-06-10,20.26814814814815,20.27,35.458333333333336,0.0
2023-06-12,20.400857142857145,20.4,23.291666666666668,0.0
2023-06-15,19.41469387755102,19.44,22.25,0.0
2023-06-17,19.873725490196083,19.87,16.875,0.0
2023-06-18,19.882999999999996,19.91,27.625,0.0
2023-06-19,19.592,19.585,15.875,0.0
2023-06-20,20.2176,20.215,0.2916666666666667,0.0
