night_of,average_darkness,median_darkness,mean_cloud_cover,mean_snow_cover
2021-03-03,19.810357142857146,19.8,0.4166666666666667,0.02
2021-03-04,19.77809523809524,19.78,34.375,0.014583333333333335
2021-03-06,19.69943661971832,19.76,30.125,0.009166666666666667
2021-03-08,19.605894736842107,19.73,17.5,0.0
2021-03-09,19.51380952380952,19.5,35.166666666666664,0.0
2021-03-13,19.939082568807336,20.15,14.333333333333334,0.0
2021-03-19,20.245185185185182,20.305,6.083333333333333,0.0
2021-03-20,20.21341463414634,20.22,0.875,0.0
2021-03-21,20.23137931034483,20.23,19.25,0.0
2021-03-29,,,9.583333333333334,0.0
2021-03-30,,,25.5,0.0
2021-04-01,18.656956521739133,18.6,10.458333333333334,0.0
2021-04-02,20.060526315789467,20.05,2.1666666666666665,0.0
2021-04-03,20.056153846153848,20.064999999999998,0.4583333333333333,0.0
2021-04-04,20.089523809523808,20.12,7.333333333333333,0.0
2021-04-06,19.723536585365853,19.915,29.208333333333332,0.0
2021-04-13,20.271931818181816,20.32,28.333333333333332,0.0
2021-04-16,19.465892857142858,20.345,7.166666666666667,0.0
2021-04-17,20.170454545454547,20.17,11.0,0.0
2021-04-22,,,11.458333333333334,0.0
2021-04-25,,,35.875,0.0
2021-04-26,,,39.166666666666664,0.0
2021-04-30,20.2675,20.27,6.916666666666667,0.0
2021-05-01,20.06551724137931,20.13,18.041666666666668,0.0
2021-05-02,19.727999999999998,19.715,10.625,0.0
2021-05-05,19.915483870967748,20.205,13.041666666666666,0.0
2021-05-07,19.70450704225352,20.24,27.083333333333332,0.0
2021-05-11,20.2910447761194,20.35,13.958333333333334,0.0
2021-05-12,20.37134328358209,20.38,2.875,0.0
2021-05-13,20.35074626865671,20.37,33.541666666666664,0.0
2021-05-22,,,25.083333333333332,0.0
2021-05-26,,,37.458333333333336,0.0
2021-05-29,18.8475,18.85,0.2916666666666667,0.0
2021-05-30,20.275333333333332,20.27,25.541666666666668,0.0
2021-06-01,20.328666666666667,20.33,20.375,0.0
2021-06-02,20.221428571428568,20.23,14.583333333333334,0.0
2021-06-03,20.38575,20.4,16.208333333333332,0.0
2021-06-04,18.642954545454547,18.55,30.958333333333332,0.0
2021-06-05,20.405416666666667,20.41,4.208333333333333,0.0
2021-06-06,20.392745098039214,20.4,22.041666666666668,0.0
2021-06-08,19.036346153846154,19.005,37.166666666666664,0.0
2021-06-09,20.260384615384616,20.445,33.708333333333336,0.0
2021-06-10,20.280961538461536,20.35,13.791666666666666,0.0
2021-06-11,20.038431372549017,20.19,39.5,0.0
2021-06-12,20.07470588235294,20.22,22.666666666666668,0.0
2021-06-13,20.471999999999994,20.48,0.0,0.0
2021-06-14,20.192972972972974,20.4,9.625,0.0
2021-06-15,19.901666666666664,20.375,18.125,0.0
2021-06-16,20.408333333333335,20.41,2.1666666666666665,0.0
2021-06-17,20.31157894736842,20.35,24.958333333333332,0.0
2021-06-19,18.264444444444443,18.26,35.708333333333336,0.0
2021-06-22,,,19.083333333333332,0.0
2021-07-01,18.71315789473684,18.34,23.416666666666668,0.0
2021-07-02,20.25260869565217,20.33,30.833333333333332,0.0
2021-07-03,20.17037037037037,20.18,0.7083333333333334,0.0
2021-07-04,20.0215625,20.03,6.791666666666667,0.0
2021-07-05,20.066111111111113,20.1,6.125,0.0
2021-07-06,19.923095238095236,20.2,15.333333333333334,0.0
2021-07-17,20.17,20.25,26.541666666666668,0.0
2021-07-18,19.858148148148146,20.19,14.375,0.0
2021-07-19,19.908571428571435,19.91,7.625,0.0
2021-07-20,19.935714285714283,19.925,24.833333333333332,0.0
2021-07-22,,,33.458333333333336,0.0
2021-07-23,,,27.25,0.0
2021-07-24,,,28.5,0.0
2021-07-25,,,19.875,0.0
2021-07-26,,,6.958333333333333,0.0
2021-07-27,,,22.75,0.0
2021-07-30,19.745454545454546,19.79,38.041666666666664,0.0
2021-07-31,19.484666666666666,19.3,22.666666666666668,0.0
2021-08-01,19.575,19.755,12.333333333333334,0.0
2021-08-02,20.286923076923078,20.3,24.291666666666668,0.0
2021-08-03,19.75625,20.325,21.583333333333332,0.0
2021-08-04,19.681025641025645,19.7,20.875,0.0
2021-08-05,19.992244897959186,19.99,29.75,0.0
2021-08-13,19.340000000000003,19.33,10.208333333333334,0.0
2021-08-14,20.382666666666672,20.38,4.25,0.0
2021-08-15,20.396111111111118,20.4,11.333333333333334,0.0
2021-08-16,20.42212765957447,20.43,17.958333333333332,0.0
2021-08-17,20.403589743589734,20.41,13.708333333333334,0.0
2021-08-18,19.788275862068964,20.07,33.666666666666664,0.0
2021-08-19,20.327058823529413,20.35,27.458333333333332,0.0
2021-08-20,20.2725,20.28,33.666666666666664,0.0
2021-08-22,,,18.75,0.0
2021-08-23,,,31.958333333333332,0.0
2021-08-25,,,23.333333333333332,0.0
2021-08-27,19.696666666666665,19.77,24.333333333333332,0.0
2021-08-28,19.608571428571427,19.59,34.041666666666664,0.0
2021-08-29,20.251666666666665,20.25,19.5,0.0
2021-08-30,20.27388888888889,20.3,3.2083333333333335,0.0
