night_of,average_darkness,median_darkness,mean_cloud_cover
2023-01-31 00:00:00,19.727647058823525,19.73,32.041666666666664
2023-02-01 00:00:00,19.558,19.56,2.5833333333333335
2023-02-02 00:00:00,,,24.583333333333332
2023-02-05 00:00:00,,,21.041666666666668
2023-02-10 00:00:00,17.8552,17.88,23.625
2023-02-11 00:00:00,19.963783783783786,19.98,3.3333333333333335
2023-02-12 00:00:00,20.064,20.06,20.875
2023-02-13 00:00:00,19.978593749999998,20.0,31.0
2023-02-17 00:00:00,18.4235593220339,19.34,37.041666666666664
2023-02-18 00:00:00,19.604754098360655,19.62,24.958333333333332
2023-02-20 00:00:00,19.449833333333334,19.935000000000002,27.541666666666668
2023-02-26 00:00:00,20.16607843137255,20.17,1.2083333333333333
2023-03-05 00:00:00,,,37.083333333333336
2023-03-14 00:00:00,19.838474576271192,19.83,7.875
2023-03-19 00:00:00,20.189142857142855,20.24,2.0416666666666665
2023-03-27 00:00:00,20.9215,20.93,30.875
2023-03-28 00:00:00,19.49888888888889,19.59,38.958333333333336
2023-04-02 00:00:00,,,26.25
2023-04-06 00:00:00,,,0.9583333333333334
2023-04-07 00:00:00,,,3.2083333333333335
2023-04-08 00:00:00,,,9.375
2023-04-09 00:00:00,20.107499999999998,20.11,7.583333333333333
2023-04-10 00:00:00,19.963703703703704,20.05,10.458333333333334
2023-04-11 00:00:00,20.1595,20.16,14.25
2023-04-12 00:00:00,20.211509433962267,20.2,0.25
2023-04-13 00:00:00,20.346874999999997,20.335,2.625
2023-04-14 00:00:00,20.28479452054794,20.34,21.75
2023-04-18 00:00:00,19.85588235294117,20.34,2.4583333333333335
2023-04-26 00:00:00,20.32857142857143,20.33,22.041666666666668
2023-04-27 00:00:00,20.32384615384615,20.34,7.375
2023-04-28 00:00:00,20.214285714285715,20.2,31.0
2023-05-03 00:00:00,,,10.625
2023-05-04 00:00:00,,,6.0
2023-05-05 00:00:00,,,30.708333333333332
2023-05-10 00:00:00,20.178000000000004,20.19,8.083333333333334
2023-05-11 00:00:00,20.04525,19.98,12.833333333333334
2023-05-15 00:00:00,19.455322580645163,19.47,22.291666666666668
2023-05-16 00:00:00,19.698923076923073,19.66,30.5
2023-05-17 00:00:00,20.14421875,20.18,2.5
2023-05-18 00:00:00,19.70126984126985,19.7,21.416666666666668
2023-05-20 00:00:00,20.022419354838703,20.02,2.0416666666666665
2023-05-21 00:00:00,20.376666666666665,20.38,0.20833333333333334
2023-05-22 00:00:00,20.25645833333333,20.255000000000003,8.166666666666666
2023-05-23 00:00:00,20.08567567567568,20.08,4.375
2023-05-24 00:00:00,20.20794326241135,20.21,14.041666666666666
2023-05-25 00:00:00,,,17.166666666666668
2023-05-26 00:00:00,,,5.791666666666667
2023-05-27 00:00:00,,,15.583333333333334
2023-05-28 00:00:00,,,13.875
2023-05-29 00:00:00,,,15.958333333333334
2023-05-30 00:00:00,,,20.375
2023-06-01 00:00:00,,,25.708333333333332
2023-06-02 00:00:00,,,16.208333333333332
2023-06-03 00:00:00,,,12.5
2023-06-04 00:00:00,,,15.75
2023-06-05 00:00:00,,,12.291666666666666
2023-06-07 00:00:00,,,13.375
2023-06-08 00:00:00,13.088,20.42,2.375
2023-06-09 00:00:00,,,0.08333333333333333
2023-06-10 00:00:00,,,35.833333333333336
2023-06-12 00:00:00,,,23.791666666666668
2023-06-15 00:00:00,,,26.916666666666668
2023-06-17 00:00:00,,,14.916666666666666
2023-06-18 00:00:00,,,29.333333333333332
2023-06-19 00:00:00,,,14.666666666666666
2023-06-20 00:00:00,,,0.4583333333333333
2023-06-21 00:00:00,,,1.2083333333333333
2023-06-22 00:00:00,20.338648648648654,20.33,8.333333333333334
2023-06-23 00:00:00,20.1815625,20.19,15.833333333333334
