night_of,average_darkness,median_darkness,mean_cloud_cover
2022-09-22 00:00:00,,,9.791666666666666
2022-09-26 00:00:00,,,19.75
2022-09-27 00:00:00,,,18.041666666666668
2022-09-28 00:00:00,,,7.833333333333333
2022-09-29 00:00:00,,,9.583333333333334
2022-09-30 00:00:00,,,15.416666666666666
2022-10-01 00:00:00,,,35.375
2022-10-02 00:00:00,,,33.791666666666664
2022-10-03 00:00:00,,,7.0
2022-10-04 00:00:00,,,8.833333333333334
2022-10-05 00:00:00,,,29.291666666666668
2022-10-06 00:00:00,,,31.791666666666668
2022-10-07 00:00:00,,,11.5
2022-10-08 00:00:00,,,2.9166666666666665
2022-10-09 00:00:00,,,16.458333333333332
2022-10-10 00:00:00,,,14.375
2022-10-13 00:00:00,,,27.791666666666668
2022-10-15 00:00:00,,,8.0
2022-10-19 00:00:00,,,12.458333333333334
2022-10-20 00:00:00,,,39.458333333333336
2022-10-21 00:00:00,,,6.458333333333333
2022-10-22 00:00:00,,,4.208333333333333
2022-10-23 00:00:00,,,22.416666666666668
2022-10-27 00:00:00,,,26.375
2022-10-28 00:00:00,,,9.916666666666666
2022-10-29 00:00:00,,,5.166666666666667
2022-11-01 00:00:00,,,6.083333333333333
2022-11-02 00:00:00,,,1.625
2022-11-03 00:00:00,,,18.083333333333332
2022-11-06 00:00:00,,,30.333333333333332
2022-11-07 00:00:00,,,4.375
2022-11-08 00:00:00,,,25.125
2022-11-10 00:00:00,,,18.666666666666668
2022-11-13 00:00:00,,,39.916666666666664
2022-11-20 00:00:00,19.690199999999997,19.935000000000002,17.125
2022-11-21 00:00:00,19.95263157894737,20.04,9.958333333333334
2022-11-22 00:00:00,19.932248062015503,20.03,22.375
2022-11-23 00:00:00,20.2015671641791,20.195,15.25
2022-11-25 00:00:00,,,7.708333333333333
2022-11-26 00:00:00,,,8.916666666666666
2022-12-01 00:00:00,,,9.0
2022-12-03 00:00:00,,,36.5
2022-12-04 00:00:00,,,1.2916666666666667
2022-12-25 00:00:00,19.476764705882353,19.48,24.041666666666668
2022-12-27 00:00:00,19.51928571428571,19.71,33.0
